root  126/NnV2Q0Pw2
bin	237NQdqSPFYQM
daemon	34HU/KORaOZa2
admin	45./Wf9t6iYdY
lp	56dgRwdjiKZeE
sync	67tMyo1WVwZKk
shutdown	78mFDxiM/cKFc
halt	89fvq4HfGovag
mail	90JALwKlIRbXw
news	ab1qRV2ENz2Xw
uucp	bcz5TbG4vh7KM
operator	cdwYECFaW.C/w
games	deuerIWuliyRA
gopher	ef7i.HiDJz4AQ
ftp	fgeojOk6/NuyE
nobody	gh1njVIpw1h6s
rpm	hi3NYkdFdGoO6
nscd	iju92gQMm4ro.
sshd	jkQfgJ3MlLNZM
rpc	kl.0/qKKdVAZ2
rpcuser	lm4yYA/ygRvMI
nfsnobody	mnY/o8422OEeY
mailnull	noqEufvZReAes
smmsp	opxSTR2Cbtq9o
apache	pqIvc6apep4SA
squid	qr6AtqQSp7FIo
webalizer	rsVCl.sMNTrNM
dbus	stpZXu3SPok36
xfs	tuhwlK0LjGrQo
named	uvvO0c7fVEFdo
desktop	vwcDV81Urv7ZY
dovecot	wx5Lyaqm5ya3s
postgres	xy3H81IfEXtwU
mysql	yzA1MPUlC6KCo
racvnc	AB4HEV03KCvgc
ebarton	BCpv.0oc/QZFk
beporter	CDYjuqB5vXBE2
jnichols	DEh9aj0YOJYFo
ksheffer	EFUdjJHjM3DDM
mkoch	FGi9dufI.SwyY
kriley	GHNdDTsanWAvo
jhlaptav	HIBOqnTl8YLOg
jdooley	IJciuscQ5psaY
candrews	JKIqZyUrH1Iyo
dblaheta	KLrtLuwHfCArg
dkrall	LMzJe9mB/GCSA
ecostell	MNW7rNZjNhEYk
cdexter	NOG.UlyZJSJDk
hthompso	OPpKz1hnfe4NQ
snomikos	PQoMExwSRdsrY
sholmes	QReLY/H9XO7Yg
jwatson	RS564EK.MY0yI
eapoe	STpRcnDhFpfi.
adoyle	TUGgWdcgiYIQU
dsayers	UVaq6sX6Rbc0I
iasimov	VW1uQF4hbhOxM
ehoch	WXsbg8zT5FaxY
rtaylor	XYdIBB5gTHnbo
ataylor	YZt9S2eDy1LZo
